 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 744 3 2 ZTF_g 456226481015 0 2.4234 134.69 17.6416 25.8715 8.1494e-06 0.0334145 -0.049715 1.77172e-05 2021 30. 0.058199 0.052919 18.802 25.8715 1 2458210.7264815 744120110 null null null null null null null null null null null null null 2458166.671806 2458443.795567 56,57
 10 703 14 1 ZTF_g 456245255315 0 2.8018 96.3618 18.6275 25.8431 1.53717e-05 0.0447442 -0.0564351 3.15274e-05 2011 30. 0.071671 0.064025 18.5859 25.8431 1 2458210.7452546 703120153 -643.540190260583 100.614016835211 -7.11495221889861 1.0282361972022 -592.329021324917 158.060275563624 -3.77272777259647 1.08402524089511 0.210711862083118 18.5940000534058 0.0199999995529652 0.718999981880188 0.00800000037997961 2458166.670324 2458349.946007 0
 11 744 3 2 ZTF_g 456245711015 0 2.5805 130.996 18.7403 25.8134 9.7635e-06 0.0365024 -0.0391144 2.13259e-05 2008 30. 0.069239 0.064657 18.638 25.8134 1 2458210.7457176 744120110 null null null null null null null null null null null null null 2458166.671806 2458443.795567 56,57
 12 703 14 1 ZTF_r 460160045315 48 2.6343 23.6868 17.1062 23.8301 4.84522e-05 0.0605965 0.0633818 9.32196e-05 791 30. 0.050301 0.059542 16.7001 23.8301 1 2458214.6600463 703120253 -60.3380620785129 85.6889563925308 -0.783287696702048 0.976361884988828 -127.229189805047 143.959797176986 -0.889735108205473 1.04654841624841 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
 13 703 14 1 ZTF_r 463152715315 0 3.6951 149.429 11.336 25.8718 7.878e-06 0.0322978 0.078344 1.59628e-05 2113 30. 0.063119 0.070724 18.963 25.8718 1 2458217.6527199 703120253 -754.971428348407 62.781781576238 -13.3767829914261 1.32203405104588 -802.43011632282 86.5409015198911 -9.33471358786712 1.07485026483032 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
 14 703 14 1 ZTF_r 463171295315 0 3.5822 78.0706 13.3425 25.1798 2.50904e-05 0.0580799 0.048719 5.05724e-05 2083 30. 0.064113 0.065489 18.0937 25.1798 1 2458217.6712963 703120253 -509.574861324983 75.1112790869808 -7.54670959655921 1.03009335472864 -553.526430577695 106.050790890592 -5.25459978426396 1.06420774978881 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
 15 703 14 1 ZTF_r 465172155315 0 3.5844 153.092 12.6475 25.9038 4.6728e-06 0.0245097 0.0765492 9.52427e-06 2089 30. 0.065516 0.06811 18.9641 25.9038 1 2458219.6721528 703120253 -928.016318962279 74.5752917146023 -13.8425293654649 1.07133356737035 -870.786838619138 100.781775876309 -8.69851350063339 1.11213722250027 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
 16 703 14 1 ZTF_r 465191845315 0 3.2716 161.113 11.8311 25.957 3.9791e-06 0.0226398 0.0835245 8.10244e-06 2095 30. 0.068483 0.065243 19.1568 25.957 1 2458219.6918403 703120253 -920.489766048859 68.9122632190682 -14.858578130054 1.06342866394612 -824.405281819446 98.308982164417 -8.44233843695501 1.08928601326775 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
 17 703 14 1 ZTF_r 470141275315 48 2.6795 21.7091 14.6882 23.6489 4.96789e-05 0.0627199 0.0872745 9.47761e-05 857 30. 0.056715 0.056842 16.626 23.6489 1 2458224.6412731 703120253 -164.146548031542 65.9922115163224 -2.76690260694444 0.979713522550691 -199.602270626294 109.070195004748 -1.84236035696382 1.04464325457399 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
 18 703 14 1 ZTF_r 477145845315 0 2.6928 194.457 13.5733 26.1405 3.1105e-06 0.0201657 0.0749374 6.34375e-06 2130 30. 0.054051 0.059461 19.1884 26.1405 1 2458231.6458449 703120253 -1158.6682492726 73.0759616837449 -17.6375950798171 1.99431220724028 -1242.86449084042 113.949390793794 -10.9806225902391 1.04338555550724 0.406520805419053 18.0099996566772 0.0649999976158142 6.11800003051758 -0.298000007867813 2458154.690405 2458342.990799 0
