id,ra,decl,field,ccd,quad,filter
191,267.0094,-24.7769,281,6,1,gr
192,267.0094,-24.7769,1274,14,2,gr
193,267.0200,-24.7792,281,6,1,gr
194,267.0200,-24.7792,1274,14,2,gr
195,267.0200,-24.7792,281,6,1,gr
196,267.0200,-24.7792,1274,14,2,gr
197,267.0200,-24.7792,281,6,1,gr
198,267.0200,-24.7792,1274,14,2,gr
199,267.0200,-24.7792,281,6,1,gr
200,267.0200,-24.7792,1274,14,2,gr
201,267.0200,-24.7792,281,6,1,gr
202,267.0200,-24.7792,1274,14,2,gr
203,267.0200,-24.7792,281,6,1,gr
204,267.0200,-24.7792,1274,14,2,gr
205,267.0200,-24.7792,281,6,1,gr
206,267.0200,-24.7792,1274,14,2,gr
207,267.0200,-24.7792,281,6,1,gr
208,267.0200,-24.7792,1274,14,2,gr
209,267.0200,-24.7792,281,6,1,gr
210,267.0200,-24.7792,1274,14,2,gr
211,267.0200,-24.7792,281,6,1,gr
212,267.0200,-24.7792,1274,14,2,gr
213,267.0200,-24.7792,281,6,1,gr
214,267.0200,-24.7792,1274,14,2,gr
215,267.0200,-24.7792,281,6,1,gr
216,267.0200,-24.7792,1274,14,2,gr
217,267.0200,-24.7792,281,6,1,gr
218,267.0200,-24.7792,1274,14,2,gr
219,267.0200,-24.7792,281,6,1,gr
220,267.0200,-24.7792,1274,14,2,gr
221,267.0200,-24.7792,281,6,1,gr
222,267.0200,-24.7792,1274,14,2,gr
223,267.0200,-24.7792,281,6,1,gr
224,267.0200,-24.7792,1274,14,2,gr
225,267.0200,-24.7792,281,6,1,gr
226,267.0200,-24.7792,1274,14,2,gr
227,267.0991,-30.1534,233,11,1,gr
228,267.0991,-30.1534,1274,2,2,gr
229,267.6391,-25.6119,281,5,3,gr
231,267.8862,-28.9629,233,14,3,gr
233,268.4160,-22.6783,281,9,1,gr
234,268.4160,-22.6783,1324,4,1,gr
236,268.9100,-25.8394,282,8,3,gr
237,269.1943,-22.8665,282,12,2,gr
238,269.1943,-22.8665,1324,3,2,gr
239,269.2658,-18.9009,1324,11,2,gr
240,270.4607,-8.9591,383,12,3,gr
241,270.4607,-8.9591,1428,3,2,gr
242,270.5222,-21.4010,282,15,3,gr
243,270.5222,-21.4010,1324,7,1,gr
244,270.8821,-27.2018,282,3,3,gr
248,271.0881,-27.2920,282,3,3,gr
250,271.4792,6.2333,486,12,2,gr
251,271.6044,28.3170,636,14,3,gr
252,271.6044,28.3170,1680,5,3,gr
253,271.8348,-24.9980,282,7,1,gr
254,271.8370,-25.0005,282,7,1,gr
255,272.6553,17.7437,588,7,3,gr
257,272.6553,17.7437,1584,16,3,gr
260,272.9793,-17.6105,332,5,1,gr
261,272.9793,-17.6105,333,8,2,gr
262,272.8327,-24.0884,282,10,3,gr
264,273.4191,-26.3658,282,2,2,gr
265,273.4191,-26.3658,1275,11,1,gr
266,274.1497,45.1761,764,2,2,gr
267,274.1497,45.1761,1764,11,2,gr
268,275.7161,-8.8164,383,9,2,gr
269,275.7161,-8.8164,1429,4,2,gr
270,275.9179,-11.2531,383,5,3,gr
271,275.9179,-11.2531,1376,14,3,gr
273,276.0208,10.2833,1533,16,3,gr
274,276.1367,-24.8698,282,5,1,gr
275,276.1367,-24.8698,283,8,2,gr
276,276.1367,-24.8698,1275,13,2,gr
277,276.1367,-24.8698,282,5,1,gr
278,276.1367,-24.8698,283,8,2,gr
279,276.1367,-24.8698,1275,13,2,gr
280,276.1367,-24.8698,282,5,1,gr
281,276.1367,-24.8698,283,8,2,gr
282,276.1367,-24.8698,1275,13,2,gr
283,276.1367,-24.8698,282,5,1,gr
284,276.1367,-24.8698,283,8,2,gr
285,276.1367,-24.8698,1275,13,2,gr
286,276.1355,-24.8691,282,5,1,gr
287,276.1355,-24.8691,283,8,2,gr
288,276.1355,-24.8691,1275,13,2,gr
289,276.1367,-24.8698,282,5,1,gr
290,276.1367,-24.8698,283,8,2,gr
291,276.1367,-24.8698,1275,13,2,gr
292,276.1367,-24.8698,282,5,1,gr
293,276.1367,-24.8698,283,8,2,gr
294,276.1367,-24.8698,1275,13,2,gr
295,276.1367,-24.8698,282,5,1,gr
296,276.1367,-24.8698,283,8,2,gr
297,276.1367,-24.8698,1275,13,2,gr
298,276.4831,-3.3327,435,7,1,gr
299,276.4831,-3.3327,1429,16,1,gr
305,278.8413,-1.2427,435,10,1,gr
306,278.8413,-1.2427,1480,1,1,gr
308,279.1060,-23.9145,1325,2,3,gr
309,279.4152,-8.3701,384,11,2,gr
310,279.4152,-8.3701,1429,2,2,gr
311,280.0393,-6.7297,384,15,1,gr
312,280.0393,-6.7297,1429,6,1,gr
315,281.1690,1.2597,1481,11,3,gr
318,282.6737,2.7160,1481,11,1,gr
319,283.4888,13.0622,539,11,2,gr
320,283.4888,13.0622,1585,2,2,gr
321,283.9760,-14.6025,334,14,3,gr
322,284.4016,9.7214,539,3,1,gr
323,284.4016,9.7214,1534,12,1,gr
325,285.2107,3.1400,488,8,3,gr
326,285.2107,3.1400,1481,13,3,gr
328,285.4984,3.0065,1481,13,3,gr
331,286.1308,4.2016,488,8,1,gr
332,286.1308,4.2016,1481,13,1,gr
333,286.1308,4.2016,1482,16,2,gr
334,286.3142,1.9092,1481,9,1,gr
335,286.3142,1.9092,1482,12,2,gr
336,286.7028,0.9189,436,13,2,gr
337,286.7028,0.9189,488,3,3,gr
338,286.7036,7.7739,488,15,2,gr
339,286.7036,7.7739,1534,6,2,gr
340,287.3833,21.0500,590,15,3,gr
341,287.5404,12.9404,539,9,2,gr
342,287.5404,12.9404,1586,4,2,gr
343,287.7962,1.0360,436,13,1,gr
344,287.7962,1.0360,437,16,2,gr
346,287.9553,-11.2396,385,6,3,gr
347,287.9553,-11.2396,1378,15,3,gr
348,288.3711,11.0349,539,5,1,gr
349,288.3711,11.0349,540,8,2,gr
350,288.8667,16.1076,1586,11,3,gr
351,289.7001,-6.7097,385,13,2,gr
352,289.7001,-6.7097,1431,8,2,gr
353,290.3763,1.6238,488,1,3,gr
354,290.3763,1.6238,1482,10,3,gr
355,292.6238,-18.8628,1327,11,1,gr
356,293.1930,15.0062,540,14,1,gr
357,293.1930,15.0062,1586,5,2,gr
359,293.3458,17.4471,1586,13,3,gr
362,293.7665,17.4412,1587,16,3,gr
363,294.6670,20.2141,591,11,2,gr
365,294.7372,66.0755,1858,10,3,gr
366,295.8187,22.1731,591,15,1,gr
367,295.8187,22.1731,1636,6,1,gr
369,296.6047,34.2874,686,11,3,gr
370,296.6047,34.2874,1727,3,1,gr
371,297.3735,31.1011,686,3,1,gr
372,297.6878,24.2492,1636,9,2,gr
374,298.1535,26.5078,1684,3,3,gr
375,298.4417,18.7783,591,5,2,gr
376,298.4417,18.7783,1587,14,2,gr
378,298.4417,18.7783,1637,4,3,gr
379,298.8661,29.1454,640,15,2,gr
380,298.8661,29.1454,1684,7,1,gr
381,299.3942,25.2672,640,7,2,gr
384,304.2394,19.7977,592,10,3,gr
385,304.2394,19.7977,1637,1,2,gr
386,304.3446,6.0516,490,9,2,gr
387,304.3446,6.0516,1537,4,1,gr
389,304.4423,-16.2376,1380,2,1,gr
390,304.8831,24.4209,641,8,3,gr
391,308.0547,41.4568,729,9,1,gr
392,308.0547,41.4568,730,12,2,gr
393,308.0547,41.4568,1767,1,1,gr
394,308.0547,41.4568,1768,4,2,gr
397,308.3646,17.5829,1589,16,3,gr
399,310.8370,17.1914,593,6,3,gr
400,311.2563,36.5504,688,16,1,gr
401,311.7500,10.8833,543,7,2,gr
403,312.7813,-8.4605,389,12,2,gr
404,312.7813,-8.4605,1434,3,1,gr
405,313.1958,12.3000,543,10,3,gr
407,313.4693,46.8477,768,6,2,gr
408,313.4693,46.8477,1768,14,3,gr
409,318.7990,54.8125,1805,16,1,gr
410,322.5050,12.1773,544,9,3,gr
412,322.5050,12.1773,1591,4,3,gr
413,322.4377,-4.4849,1435,9,2,gr
414,325.0934,-23.1802,289,10,2,gr
415,325.0934,-23.1802,1331,1,1,gr
416,325.0934,-23.1802,1332,4,2,gr
418,331.1817,27.0152,644,10,3,gr
419,331.1817,27.0152,1688,2,1,gr
420,333.6619,30.0106,691,4,3,gr
422,333.6619,30.0106,1689,12,3,gr
424,333.8862,51.5934,1806,10,3,gr
425,335.5249,-1.6210,443,9,2,gr
426,335.5249,-1.6210,1489,4,1,gr
429,338.5961,6.1913,495,10,1,gr
430,338.6952,9.7417,1542,12,1,gr
431,344.2350,-10.4095,393,6,2,gr
432,344.2350,-10.4095,1386,15,1,gr
433,345.6957,44.7061,771,1,3,gr
435,346.4827,47.1293,771,5,1,gr
438,349.2885,14.6587,548,14,1,gr
439,350.6443,-26.8495,293,4,2,gr
440,350.6443,-26.8495,1285,10,1,gr
441,354.9114,-5.5515,446,2,3,gr
