 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 490 8 2 ZTF_g 1959460523015 0 2.1013 103.11 12.5003 26.1806 3.1742e-06 0.0165976 -0.0620345 8.82412e-06 1973 30. 0.050477 0.052823 19.6912 26.1806 1 2459713.9605208 490120130 -20.564405325337 46.7820482539263 -0.488980706591881 1.03974079094936 -26.7337929432861 83.9427263757108 -0.320621544461452 1.05725505052341 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 10 490 8 2 ZTF_r 1964408803015 0 1.8657 177.945 15.5838 26.2593 2.1256e-06 0.0135514 0.0876028 5.90465e-06 1976 30. 0.050738 0.054235 19.7311 26.2593 1 2459718.9088079 490120230 66.3318527164991 52.8502004810511 1.39614424270581 1.02640973806805 149.538675372837 97.0283416012797 1.55156549592291 1.05273753127558 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 11 490 8 2 ZTF_r 1964440783015 0 2.1457 179.933 15.2239 26.2684 2.9442e-06 0.0159172 0.0918232 8.19113e-06 1974 30. 0.057821 0.058904 19.6188 26.2684 1 2459718.940787 490120230 36.3195441325241 56.0500036741781 0.720807911064139 1.10460011946592 -142.155174123318 96.939877581194 -1.47630264212018 1.05995117266032 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 12 490 8 2 ZTF_r 1967433743015 0 1.9095 183.253 9.86085 26.298 2.0314e-06 0.013245 0.0908011 5.62844e-06 1973 30. 0.054858 0.054957 20.3633 26.298 1 2459721.93375 490120230 -45.681372568335 28.5012279037016 -1.78291391576293 1.16176493300524 -133.485891680734 51.1331158482006 -2.62813882182052 1.05894310769149 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 13 490 8 2 ZTF_r 1967445563015 0 1.5868 183.796 9.67544 26.2959 2.176e-06 0.0137632 0.0826145 6.02782e-06 1976 30. 0.054289 0.055779 20.5732 26.2959 1 2459721.9455671 490120230 -25.7706532417624 25.2591240534987 -1.13491135849523 0.967004535773817 -39.4180919103932 46.7959459479463 -0.848013096507723 1.05090173613154 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 14 490 8 2 ZTF_g 1969421433015 0 2.242 107.451 6.63632 26.2552 2.9418e-06 0.0159113 -0.0797292 8.17664e-06 1969 30. 0.057664 0.050814 20.443 26.2552 1 2459723.9214352 490120130 -27.5194095036298 26.3856705697896 -1.16018107256815 1.00830603561748 -92.5367518730756 45.6846845269715 -2.03919526173009 1.06262272986557 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 15 490 8 2 ZTF_r 1969454543015 0 2.1503 178.486 8.66878 26.2853 1.8406e-06 0.0126575 0.0850515 5.09402e-06 1979 30. 0.057112 0.052322 20.2578 26.2853 1 2459723.9545486 490120230 -16.3244908437866 31.2574502817404 -0.580952863499769 0.977794508536776 -67.1609528933413 54.9243133193886 -1.23102651064568 1.06092473458336 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 16 490 8 2 ZTF_g 1971444463015 0 1.9168 113.051 5.67531 26.2995 2.6745e-06 0.0150781 -0.0760766 7.48244e-06 1971 30. 0.049311 0.050312 20.8969 26.2995 1 2459725.9444676 490120130 -30.2916157389781 17.3371795968721 -1.9435637575477 1.13361364019217 -73.462089830617 31.810333874453 -2.32493193954358 1.05261113686041 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 17 490 8 2 ZTF_r 1973391443015 0 2.3826 147.336 8.33501 26.0741 1.8684e-06 0.0126612 0.0933006 5.19823e-06 1971 30. 0.069222 0.066976 20.0378 26.0741 1 2459727.8914468 490120230 -33.7918995033229 31.9261949570965 -1.17738973383922 1.00153391479605 -77.1649245375816 53.3743578235218 -1.45546734259318 1.07228138908768 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 18 490 8 2 ZTF_g 1973441753015 0 2.3453 101.189 5.59923 26.1951 2.513e-06 0.0146759 -0.0844741 6.98819e-06 1968 30. 0.060517 0.052746 20.5199 26.1951 1 2459727.9417593 490120130 -37.4709367572301 22.7954311666277 -1.82852768572211 0.926728934796057 -88.8456826965495 39.3948555801195 -2.27045034596793 1.06369040265253 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 19 490 8 2 ZTF_g 1978436853015 0 2.1323 113.845 6.34025 26.3164 2.4732e-06 0.0146151 -0.0724388 6.87832e-06 1969 30. 0.054616 0.053061 20.6074 26.3164 1 2459732.9368519 490120130 -51.3198924515772 22.1744646571372 -2.57446738876371 1.05377247299748 -108.100793730011 38.99506450501 -2.79083674246442 1.06156283568344 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 20 490 8 2 ZTF_g 1981440303015 0 2.0126 99.681 5.44354 26.1758 2.4503e-06 0.0145237 -0.0796009 6.82123e-06 1971 30. 0.05463 0.049132 20.6888 26.1758 1 2459735.9403009 490120130 26.3010805341652 19.9119768299432 1.46931196077704 0.964864041117186 23.0875260365023 35.8527082049095 0.648291942685491 1.05411547776 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 21 490 8 2 ZTF_r 1983297143015 0 1.7633 174.638 9.64509 26.2461 2.7751e-06 0.0154985 0.0867685 7.70713e-06 1985 30. 0.055998 0.053096 20.4493 26.2461 1 2459737.7971412 490120230 -46.3145610222734 27.9134934071311 -1.84568745692592 0.927430507805821 -99.6676876704158 51.5139159417343 -1.94780290814501 1.05230722316667 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 22 490 8 2 ZTF_g 1983414693015 0 2.0265 116.478 5.91455 26.3439 2.2306e-06 0.0138705 -0.0782068 6.21528e-06 1972 30. 0.05179 0.048554 20.7934 26.3439 1 2459737.9146991 490120130 5.33721032419839 21.2893215547045 0.278873531847603 0.93635591301825 34.0750587004959 38.2776525358592 0.89620323893196 1.05961376023176 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 23 490 8 2 ZTF_g 1985398373015 0 2.1535 113.067 5.86861 26.3221 3.0101e-06 0.0159876 -0.0958547 8.38797e-06 1958 30. 0.057973 0.052084 20.6589 26.3221 1 2459739.8983796 490120130 -23.5457950386965 23.0133146401933 -1.13812243699808 0.901128259814242 -79.9491696750508 41.1799721970686 -1.95453342094315 1.05419154077897 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 24 490 8 2 ZTF_r 1987377473015 0 1.7044 175.454 11.2906 26.2436 1.9081e-06 0.0127955 0.0844456 5.29703e-06 1956 30. 0.049397 0.056239 20.2501 26.2436 1 2459741.8774769 490120230 -14.4661833542835 31.5065000040564 -0.510750270735248 1.0616892689948 -60.3699535201262 58.9497979908621 -1.03098824257015 1.04776405243245 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 25 490 8 2 ZTF_g 1987420633015 0 2.0963 106.448 7.76363 26.2397 2.5063e-06 0.0145875 -0.0725644 6.99591e-06 1959 30. 0.054153 0.052889 20.3025 26.2397 1 2459741.9206366 490120130 14.7732741812232 28.9496460351931 0.567660010853837 1.03424704082896 3.38733015173181 52.0195757833712 0.0655550139315737 1.05532097950943 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 26 490 8 2 ZTF_r 1989317663015 0 2.3262 181.535 15.7743 26.2929 2.4825e-06 0.0146984 0.0901703 6.88644e-06 1968 30. 0.056548 0.071088 19.4845 26.2929 1 2459743.817662 490120230 -4.68230922446052 70.846571771682 -0.0735184010195714 0.877016069949422 33.6487076547374 118.940982072884 0.284807919410059 1.06373812302765 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 27 490 8 2 ZTF_g 1989392733015 0 3.2185 116.117 15.7432 26.3359 4.7162e-06 0.0200747 -0.0862891 1.31364e-05 1950 30. 0.077999 0.076987 19.2397 26.3359 1 2459743.8927315 490120130 -88.3206440560938 82.5963787074943 -1.18947692543418 1.00701169073235 -56.7777658500128 119.059282055712 -0.480098371019646 1.097964305649 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 28 490 8 2 ZTF_r 1994367583015 0 2.091 184.316 12.038 26.3193 2.2641e-06 0.0139737 0.082714 6.28857e-06 1968 30. 0.057812 0.056991 19.9815 26.3193 1 2459748.867581 490120230 329.204124657412 45.7057584952532 8.01215142272703 0.956693604422891 330.407891185383 78.1165927238766 4.2581632882822 1.06276767080225 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 29 490 8 2 ZTF_g 1994397893015 0 2.6944 117.286 12.192 26.3628 3.0835e-06 0.0162128 -0.110848 8.61006e-06 1966 30. 0.064635 0.059354 19.6891 26.3628 1 2459748.8978935 490120130 396.277835609449 55.9388957580901 7.88026267712117 1.05440469051336 284.560389273729 90.4088565688134 3.16868203780009 1.06066040577722 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 30 490 8 2 ZTF_g 1996330523015 0 3.4282 110.289 8.15084 26.288 6.4587e-06 0.0236097 -0.069779 1.79675e-05 1961 30. 0.094175 0.089004 19.9101 26.288 1 2459750.8305208 490120130 494.258633662827 43.5051152336955 12.6377203807129 1.02201591491592 513.325732551204 59.1138283750939 8.7421678666276 1.11105034231597 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 31 490 8 2 ZTF_r 1996359943015 0 3.0863 180.889 10.8455 26.3029 3.4162e-06 0.0171376 0.0857896 9.48031e-06 1969 30. 0.085955 0.086475 19.7989 26.3029 1 2459750.8599421 490120230 497.189299142268 55.0968093833359 10.0380677854115 0.88939854493636 557.910550689423 79.6120987865637 7.05505970711128 1.10280834237026 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 32 1483 13 2 ZTF_r 1998417145015 0 1.8844 242.012 9.43395 26.2502 2.3525e-06 0.0141879 0.0769942 6.56088e-06 1835 30. 0.064232 0.053677 20.299 26.2502 2 2459752.9171412 1483120250 153.099001505784 30.383639291623 5.60515165883315 1.08566263192152 78.348239737861 57.5278861310317 1.37109017808508 1.04777538523657 2.22230641194746 18.8829998016357 0.0299999993294477 0.978999972343445 0.025000000372529 2459061.929317 2459751.889526 0
# ------------------------------END---------------------------------
